TIPLOC,Geography Description
SHPLAKE,Shiplake
LISS,Liss
NMPTNSJ,South Jn
WINERSH,Winnersh
WARGRAV,Wargrave
HANSLPJ,Hanslope Junction
GLAISDL,Glaisdale
CROWLE,Crowle
NUTBORN,Nutbourne
SLTMRSH,Saltmarshe
MALTON,Malton
HALREST,Eastwood
TWYFDW,Twyford West
TWYFORD,Twyford
BNTEY,Bentley
CRLTOTL,Carlton On Trent Loop
NWRKCAS,Newark Castle
RUSCOMB,Ruscombe Loop
PRINACE,Princes Risboro Engineers Sdg
PRINRIS,Princes Risborough
ESTRNGT,Eastrington
NWRKFC,Newark Crossing
BOTESWJ,Bottesford West Jn
NWRKCEJ,Newark Crossing East Jn
EGTON,Egton
NEWANG,Newark North Gate
WOKNGHM,Wokingham
GBROTJ,Gainsborough Trent Jns
HMARNHM,Cegb
MNKRISB,Monks Risborough
BOTESFD,Bottesford
BOSHAM,Bosham
SUNDRTN,Saunderton
FLEET,Fleet
AYLSBRS,Aylesbury (Sidings 1-7)
AYLSBRS,Aylesbury (Sidings 1-7)
AYLSDMU,Aylesbury D.M.U. Depot
AYLSBRY,Aylesbury
AYLSCCD,Ncb Ccd
QUNTRD,Quainton Road
COTAMPS,Cegb
GBGHLRD,Gainsborough Lea Road
GBROLRB,Bp Developments
GBROC,Gainsborough Central
WLVR,Wolverton
LAGHJN,Langham Junction
CRWTHRN,Crowthorne
LTLKMBL,Little Kimble
GROSMNT,Grosmont
WLVRTCS,Centre Sidings
WLVRTNW,Brml Wolverton
GROSNYM,North Yorks Moors Railway
EXETE35,Exeter St Davids Sig E35
SNDHRST,Sandhurst
FSHBORN,Fishbourne
GLBRDYK,Gilberdyke
STKM,Stoke Mandeville
ALTPE,Althorpe
GUNHOSJ,Ednhouse Loop
FARNHMD,Farnham E M U T Dpt
FARNHAM,Farnham
LIPHOOK,Liphook
MKNSCEN,Milton Keynes Central
BCKWATR,Blackwater
KETRGNJ,North Junction
GRTCSH,Gartcosh
MARLOW,Marlow
BLTCSOF,Summit Of Flyover
CLPLLP,Claypole Loop
FRNBRCE,Farnborough Country End
OAKHAM,Oakham
CHCHSTR,Chichester
BLTCHFS,Field Recp
DNBGHNJ,Denbigh Hall North Jn
KETR,Kettering
WENDOVR,Wendover
FRNB100,Farnborough Sig Be5100
ALDRSHT,Aldershot
DNBGHSJ,Denbigh Hall South Jn
KETRSJ,South Junction
FRBRMN,Farnborough (Main)
FRBRYW4,Farnborough Signal Yw4
BLTCHLY,Bletchley
SWNDRBY,Swinderby
SLEGHTS,Sleights
BLTCCS,Chs
SDONWL,Swindon West Loop
SDONEL,Swindon East Loop
NTHPSB,Northorpe (Lincs)
BRACKNL,Bracknell
FRNBRLE,Farnborough London End
HWYCOMB,High Wycombe
BLTCDGL,Bletchley Down Goods Loop
BLTCYD,Yard
ALNGJN,Allington Jn
FRIMLEY,Frimley
CMBLEY,Camberley
FRBRNTH,Farnborough North
BRFT,Broomfleet
FRIMLYJ,Frimley Jn
FSTR,Fenny Stratford
BLTCTMD,Bletchley T&Rs W/Shop Stf
BLTCHSJ,South Junction
FURZEP,Furze Platt
MANTONJ,Manton Junction
ALDRSJN,Aldershot North Jn
MHERON,Martins Heron
NTHCAMP,North Camp
COOKHAM,Cookham
MDNHEAD,Maidenhead
MDNHDE,Maidenhead East
BLTCHTS,Tarmac Sdg
SEALSRL,Seal Sands Runround Loop
RUSWARP,Ruswarp
ALDRSJS,Aldershot South Jn
SAXILBY,Saxilby
ASHVALE,Ash Vale
GTMSNDN,Great Missenden
SCNTHRP,Scunthorpe
BORNEND,Bourne End
BOWBRKH,Bow Brickhill
HASLEMR,Haslemere
ASHH,Ash
HRWDENJ,Harrowden Jn
WTBY,Whitby
WLNGBRO,Wellingborough
SCNTTJN,Trent Jn
GTHMNBJ,Nottingham Branch Junction
LTNBZRD,Leighton Buzzard
BRKSTSJ,Barkston South Jn
GTHMNJN,Grantham North Junction
GTHM,Grantham
BAGSHOT,Bagshot
LEDBRNJ,Ledburn Junction
SCNTROG,Scunthorpe Roxby Gullet
SCNTHGY,Scunthorpe Marshalling Yard
SCNTFDR,Scunthorpe Goods Yard R.Sd
SCNTHEC,Bsc Anchor Works
SCNTCHP,Bsc New Coal Handling Plant
SCNTTTC,Signal Supervisor Rs&Te Dept
SCNTHEB,Appleby Frod Ent B Bsc
SCNTHS,Scunthorpe Holding Sidings
TAPLOW,Taplow
BRKSTEJ,Barkston East Jn
CORBBSC,Bsc Tube Works
ASCOT,Ascot
CHDNGTN,Cheddington
WOBURNS,Woburn Sands
SCNTSOT,Santon Fot
KRTNLMS,Blue Circle
BOGNSID,Bognor Regis  Sidings    (Tps)
KRTNLND,Kirton Lindsey
HYKEHAM,Hykeham
BROUGH,Brough
BNHAM,Burnham
BCNSFLD,Beaconsfield
ASPLEYG,Aspley Guise
WITLEY,Witley
TRING,Tring
SUNNGDL,Sunningdale
BRKWDCE,Brookwood Country End
BRKWOOD,Brookwood
MLFORD,Milford
PYEWIPJ,Pyewipe Junction
BRKWDLE,Brookwood London End
BRHMDS,Barnham Platforms (R)
BRHM,Barnham
BOUTHMJ,Boultham Jn
MELMLC,Melton Lane
SCNTAPP,Appleby (Humberside)
WHOLMSJ,West Holmes Jn
NLNCLNJ,North Lincoln Jn
AMERMWD,Mantles Wood
AMERSHM,Amersham Lt
SEERGRN,Seer Green And Jordans
RIDGMNT,Ridgmont
GDLMING,Godalming
WINDSEC,Windsor & Eton Central
WSORAER,Windsor & Eton Riverside
SLOUGHY,Br Subsidiary Yard
SLOUGHW,Slough West
EHOLMSB,East Holmes Signal Box
SLOUEST,Slough Estates (Shell)
KETTWSD,Ketton Castle Cement
FRNCMB,Farncombe
LINCLNC,Lincoln
SLOU538,Slough Sig T3538
SLOUGH,Slough
PELHMST,Pelham St Signal Box
LNGCROS,Longcross
SNBKJN,Sharnbrook Jn
DOLPHNJ,Dolphin Jn
ANCASTR,Ancaster
FERRIBY,Ferriby
HGHDJN,Highdyke
DATCHET,Datchet
WRPLSDN,Worplesdon
LDLNGTN,Lidlington
GUILDFD,Guildford
GUILDFY,Guildford Yard
GUILDCS,Guildford Up Carriage Sdgs
GUILDFR,Guildford Down Sidings
BERKHMD,Berkhamsted
SHALFDJ,Shalford Jn
SUNYMDS,Sunnymeads
KETTON,Ketton And Collyweston
CHLFNAL,Chalfont & Latimer Lt
VRGN491,Virginia Water Signal F491
WRYSBRY,Wraysbury
VRGNWTR,Virginia Water
GERDXSS,Gerrards Cross Siding
SHALFD,Shalford
LRDGFD,London Road Guildford
FORD,Ford
WOKIUYR,Woking Up Yard
GERRDSX,Gerrards Cross
WOKINGJ,Woking Junction
BRGG,Brigg
WOKIEES,Woking East End Sidings
WOKIDRP,Woking Down Yard
WOKINGY,Yard
MLBRKB,Millbrook (Bedfordshire)
FDRSSDG,London Brick(Forder-Stewartby)
ARUNDLJ,Arundel Junction
EGHAM,Egham
LANGLEY,Langley Berks
STWRTBY,Stewartby
LANGREC,Langley Reception Sidings
WDRYE,West Drayton East
SOKEJN,Stoke Tunnel
WDRYTC,West Drayton Yard
ELSHAM,Elsham
LTLHOSH,Littlehampton  Outsde Shed Tps
LTLHSHD,Littlehampton  Shed  (Tps Use)
LTLHUSD,Littlehampton  Up Siding   Tps
ARUNDEL,Arundel
LTLHMPT,Littlehampton
CHRW,Chorleywood Lt
KMPSTNH,Kempston Hardwick
AMLY,Amberley
DRIFILD,Driffield
DENHMGC,Denham Golf Club
HTNCRNS,Hutton Cranswick
STAMFD,Stamford
BRTHMBR,Barton-On-Humber
HESSLE,Hessle
CHLWTH,Chilworth
CNBKELF,Colnbrook Elf Oil
SEAMER,Seamer
BEDFDN,Bedford North Jn
FLITWCK,Flitwick
HRLGSUL,Sundon Up Loop
HRLGSSJ,Sundon South Jn
HRLG,Harlington
ARRAM,Arram
FLITWCJ,Flitwick Junction
RAUCEBY,Rauceby
CHTSEY,Chertsey
IVER,Iver
BEVERLY,Beverley
SCARBRO,Scarborough
ELSTOW,Elstow
ELSTORS,Redland Aggregate(Elstow Sdgs)
STAINUL,Up Loop
STAIDGL,Down Goods Loop
STAINES,Staines
STAINSS,Staines Station Bus Stop
STAINSD,B R Carriage Sidings
WBYFLET,West Byfleet
DENHAM,Denham
BEDFDM,Bedford Midland
BEDFDNS,Bedford North Sidings
PULBRO,Pulborough
HEMLHMP,Hemel Hempstead
BEDFEGS,Bedford Engineers Sidings
WRAWBYJ,Wrawby Jn
CLANDON,Clandon
WELTNBP,Welton
BESJGL,Bedford St Johns G.L.
BESJOHN,Bedford St Johns
THYMIL,Thorney Mill Sdg Specific User
CTTGHM,Cottingham
WDRYARC,Amey Roadstone
BNTBY,Barnetby
BEDFDS,South Jn
ADLESTN,Addlestone
RCKMNSW,Rickmansworth Lt
LEAGRVJ,Leagrave Junction
BYFLANH,Byfleet & New Haw
NAFERTN,Nafferton
BEDFDCS,Carriage Sidings
WDRYTON,West Drayton
LEAGRVE,Leagrave
APSLEY,Apsley
BARWHVN,Barrow Haven
BYFLETJ,Byfleet Jn
ANGMRNG,Angmering
ADLESTJ,Addlestone Junction
SLEFD,Sleaford
HULLSBS,Spring Bank South Jn
HULLSBN,Spring Bank North Jn
HESSLRD,Hessle Road Jn.
ASFDMSX,Ashford (Middlesex)
WEYBDGE,Weybridge
WEYBETC,Weybridge Etc
WEYBDGB,Weybridge
MTHRNGH,Metheringham
HULLARJ,Anlaby Road Jn
HULLWPN,West Parade North Jn
HTRWAPT,Heathrow Express Terminal One
HTRWAJN,Heathrow Airport Junction
KLGL,Kings Langley
SLEFDEJ,Sleaford East Jn
HTRWTM4,Heathrow Exp 4
SHEPRTN,Shepperton
SLEFDNJ,Sleaford North Jn
NHOL,New Holland
WCKENBY,Wickenby Signal Box
KLGLLP,Up Kings Langley Loop
SLEFDSJ,Sleaford South Jn
LUTONNJ,North Junction
WRUISLP,West Ruislip
WRUILUL,London Underground
WTFDSJN,Watford South Jn_(Met)
LUTOCRD,Luton Crescent Rd Sidding
LUTONEL,North End Loop
OXMRSHX,Oxmarsh L.C.
LNGWRTH,Langworth
RSKNGTN,Ruskington
BILSHST,Billingshurst
STKYBJN,Stockley Bridge Jn
GOMSHAL,Gomshall
LMBRYSG,Luton Limbery Rd South Gf
LMBRYRD,Luton Limbury Road
LMBRYNG,Luton Limbery Rd North Gf
HULLDCT,Tilcon
HULLKGD,Hull King George V Dock
HULLCT,Fernwood Fuels
HLTNLMR,Holton Le Moor Signal Box
UHALIFD,Upper Halliford
HRSLEY,Horsley
LUTON,Luton
HULL,Hull
HULLDMU,Dmud Botanic Gardens
LUTONUS,Tc (Up Sidings)
MOORPK,Moor Park Lt
HAYEHLP,Hayes & Harlington Loop
HAYESAH,Hayes & Harlington
WATFDY,Watford Yard
GOXHILL,Goxhill
SUNBURY,Sunbury
HUNMNBY,Hunmanby
EFNGJNK,Effingham Junction Neck
EFNGHMJ,Effingham Junction
EFNGS98,Signal Wx98
EFNGSHD,B R Carriage Sidings
GORNGBS,Goring-By-Sea
WONT,Walton-On-Thames
HAYESTS,Tarmac
HAYESTC,Hayes Freight Terminal
FELTHAM,Feltham
WATFDNJ,North Junction
KMPTNPK,Kempton Park
MKTR,Market Rasen
SRUISLP,South Ruislip
THABBEY,Thornton Abbey
WATFJCS,Carriage Siding
WATFDJ,Watford Junction
WATFJSJ,South Junction
WATFDHS,Watford High Street
WATFDN,Watford North
FILEY,Filey
HULLBGJ,Hull Bridges Jn
CRPNDPK,Carpenders Park
BUSHEY,Bushey
CBHMSDA,Cobham And Stoke D'Abernon
BKBY,Brocklesby
DRNGTOS,Durrington-On-Sea
HELPSTN,Helpston
HERSHAM,Hersham
STHALWJ,Southall West Jn
STHATC,Southall Terminal Complex
ULCEBY,Ulceby
TALNDOW,Dowmac
TALNGTN,Tallington Junction
GRSTH,Garston (Hertfordshire)
PNTYLC,Pantyffynnon Level Crossing
BOOKHAM,Bookham
STHALL,Southall
FELTHMJ,Feltham Junction
HTCHEND,Hatch End
WWRTHND,West Worthing  Carriage Sidngs
WWRTMS,West Worthing  Middle Siding
WWRTHNG,West Worthing
HAMPTON,Hampton
BCWD,Bricket Wood
STHALEJ,Southall East Jn
HRPNDN,Harpenden
NTHOLTS,West London Waste
NTHOLTP,Northolt Park
HOUNSLW,Hounslow
HEDSTNL,Headstone Lane
HRPNDNJ,Station Junction
OXSHOTT,Oxshott
WHTTON,Whitton
HANWBLP,Hanwell Bridge Loop
WORTHNG,Worthing
HOWWOOD,How Wood <Hertfordshire>
STALBNA,St Albans Abbey
HCKNGTN,Heckington
HABRO,Habrough
HABRJN,Habrough
ESHER,Esher
PKST,Park Street
CHRSTSH,Christ'S Hospital West Horsham
FULWELL,Fulwell
IMNGKGE,Immingham Killingholme
GFORD,Greenford
GFORDWJ,Greenford West Junction
CLYGATE,Claygate
FULW411,Fulwell Signal F411
FULWELJ,Fulwell Junction
GFORDSJ,Greenford South Jn
STALBCS,St Albans Centre Sidings
HCRT,Hampton Court
HANWELL,Hanwell
HAROHSJ,Harrow On The Hill South Jct
HAROOTH,Harrow-On-The-Hill Lt
SDBRYHH,Sudbury Hill
HROWDC,Harrow & Wealdstone D.C.
SHCKLGJ,Shacklegate Junction
STRWBHD,B R Carriage Sidings
STRWBYH,Strawberry Hill
SGFORD,South Greenford
HROW,Harrow & Wealdstone
STALBCY,St Albans City
HNCHLYW,Hinchley Wood
ISLEWTH,Isleworth
GFORDEJ,Greenford East Signalling
TDITTON,Thames Ditton
EWRTHNG,East Worthing
TWCKNMJ,Twickenham Jn
CBARPAR,Castle Bar Park
WRNGTNJ,Werrington Jn
DRKGW,Dorking West
DRAYGRN,Drayton Green
IMNGHOR,Humber Refinery-Conoco
IMNGLOR,Lindsey Oil Refinery
RADLETJ,Station Junction
HCRTJN,Hampton Court Jn Nameboard
TEDNGTN,Teddington
TWCKNHM,Twickenham
BRNTDS,Day & Sons
RYHPFHH,Ryhope Grange Sidings
LETHRHD,Leatherhead
WEALINL,West Ealing Loop
RADLTRR,Redland Aggregates
SYONLA,Syon Lane
RADLETT,Radlett
OCKLYAC,Ockley
WEALING,West Ealing
BOXHAWH,Box Hill & Westhumble
STMGTS,St Margarets (Greater London)
KTON,Kenton
SDBRYHR,Sudbury & Harrow Road
DORKDSG,Dorking Down Siding
WARNHAM,Warnham
DORKING,Dorking
DEPDENE,Deepdene
IMNGHRJ,Humber Road Jn
SKENTON,South Kenton
IMNGHMQ,Mineral Quay Shpg Traffic Tl
IMNGSTO,Immingham Dock Mineral Quay
HLMW,Holmwood
HORSUS,Horsham Up Sidings South
HORSHAM,Horsham
HORSUL,Horsham  Up Loop
HORS76,Horsham Signal Cpb76
HAMWICK,Hampton Wick
BNTFORD,Brentford
NWEMJN,North Wembley Junction
NENGLNN,New England North
NWEMBLY,North Wembley
HORSHUS,Horsham  Up T.C.
SNDY,Sandy
BRDLNGT,Bridlington
CHSSS,Chessington South
ASHD,Ashtead
EALINGB,Ealing Broadway
IMNGTRQ,Immingham Transit Quay
HORSDL,Horsham  Down Loop
HORSDS,Horsham Carriage Sidings
SURBITN,Surbiton
LNCG,Lancing
KGSTON,Kingston Surrey
RICHMND,Richmond
RICHNLL,Richmond North London Line
WMBYEFT,Wembley Eur Frgt Ops Terminal
WMBYHS,Wembley Loco Holding Sidings
WMBY,Wembley Central
ACTONW,Acton West
CHSSN,Chessington North
ACTONTC,Acton(Ml) Marshalling Yard
PBROWSR,Peterborough Washer
LHVN,Littlehaven
PBRONCS,Peterborough Nene Sidings
PBRO800,Peterborough Sig P800
PBROFES,Br Flyash Examination Sidings
PBROCTY,Peterborough Crescent Yd
PBROLIP,Lip
PBRO,Peterborough
PBRO78,Peterborough Sig P78
PBROEFL,Peterborough Eastfield
ORTONMR,Orton Mere
KEWBDGE,Kew Bridge
WEMBLSM,Wembley Stadium
IMNGHOT,Bsc Iron Ore Terminal
IMNGCIT,Immingham Coal Import Terminal
BEMPTON,Bempton
KEWEJ,Kew East Junction
WMBYICD,Chs
ARLSEY,Arlesey
NEWKEWJ,New Kew Junction
NSHEEN,North Sheen
KEWGRDN,Kew Gardens
ELTR,Elstree
BIGLPL,Plasmor
FLETTON,Fletton
BIGLSWD,Biggleswade
PROYGNS,Guinness
PROY,Park Royal
HITCHDY,Hitchin Down Yard
NRBITON,Norbiton
PROYMAR,Marcon Ltd
HITCHIN,Hitchin
IMNGHFS,Fisons
BRLANDS,Berrylands
STNBPKD,Stonebridge Park Depot
STNBGPK,Stonebridge Park
NEASDND,Neasden (London Underground)
HITC228,Hitchin Sig K228
TOLWTH,Tolworth
GNRSBRY,Gunnersbury
HITC232,Hitchin Signal K.232
STNEOTS,St Neots
CNNGTIP,Xx Duction Connington Tip
IMNGHRS,Immingham Reception Sidings
IMNGRSW,Immingham Recptn Sdgs West
CNNGSJN,Conington South
SACTONJ,South Acton Jn
PBROE,Peterborough East
SACTON,South Acton
CNNGTNL,Conington Loop
ACTONML,Acton Main Line
CDWL718,Cadwell Sig K718
CHISWCK,Chiswick
IMNGHEJ,Immingham East Jn
SBROUGH,Stallingborough
MRTLKE,Mortlake
ACTNCTL,Acton Central
IMNGTEX,Texaco
IMNGSAP,Immingham Storage Acid Plant
IMNGSWT,Immingham Storage Tank Farm
IMNGTMD,Tmd
WLSD1DT,Ny (No 1 D T S)
EPSM456,Epsom  Signal 456
EPSMDS,Epsom  Down Sidings (Tps/Tops)
EPSMUS,Epsom  Up Sidings   (Tps Only)
EPSM,Epsom
EPSM444,Epsom  Signal 444
EPSMSW,Epsom  (Sw)
WLSDEUT,Willesden Euro Terminal
WLSDRMT,Willesden Prdc
HARLSJN,Harlesden Jn
HARLSDN,Harlesden
WLSDWLJ,West London Jn
BTCHWTH,Betchworth
MALDENM,Malden Manor
WLSDBRS,Ny (Brent Sidings)
ACWLJN,Acton Wells Junction
WLSD107,Willesden Signal Wm623
ACTCWHF,Acton Canal Wharf
NEASDSJ,South Junction Signal Box
NEASTC,Neasden Freight Terminal
MLHB,Mill Hill Broadway
NEWMLDN,New Malden
NEASJN,Neasden Midland Jn S B
EWELW,Ewell West
BNSBDGE,Barnes Bridge
FRIARSJ,Friars Jn
OLDOKCW,Old Oak Common West
WLSDFFS,Ferrous Fragmentisers
FAYGATE,Faygate
OLDOTMD,Ame Ooc Dsl Mtnce Depot Part 1
SHRHMBS,Shoreham-By-Sea  (West Sussex)
OLDOEMR,Old Oak Common Emu Reception
OLDOEMU,Old Oak Common Emu Depot
OLDOHST,.
WLSDHLS,High Level R S
SWSHEAD,Swineshead
SLKSTRJ,Silkstream Junction
OLDOCCS,Br Carriage Sidings
WLSDJHL,Willesden Junction High Level
WLSDNN7,Willesden No 7
WLSD34,Willesden Wm830 & 934
HEALING,Healing
OLDORL,Old Oak Common Rec Line 1
STLEIGH,Stoneleigh
HDON,Hendon
WRCSTRP,Worcester Park
WRCS2,Worcester Park No 2 Crossover
WLSDTMD,Willesden Tmd
BARNES,Barnes
KENSLGJ,Kensal Green Jn
LTCEREC,Letchworth Cs Reception
MTRBDGJ,Mitre Bridge Junction
LEISTON,Leiston
TATNHMC,Tattenham Corner
EWELLE,Ewell East
MOTSPRP,Motspur Park
OLDOKCE,Old Oak Common East
LNGYJN,Langley Jn
LAGYRED,Stevenage Langley
STEVNGE,Stevenage
TADWTH,Tadworth
NPOLEJ,North Pole Jn
NPLE813,North Pole Signal Vc813
NPLE818,North Pole Signal Vc818
NPLE816,North Pole Signal Vc816
BRENTCJ,Brent Curve Jn
RAYNSPK,Raynes Park
DUDNGHJ,Dudding Hill Jn
HATFILD,Hatfield
WLWYCSD,Emu Stabling Sidings
KENSLG,Kensal Green
HNTNGDN,Huntingdon
HNTNP38,Huntingdon Sig P38
CRKLUGL,Up Goods Loop
DESBRO,Desborough
TEBAYCE,Ce Siding
ONLLRR,Onllwyn Run Round
KENR,Kensal Rise
CRKL2GL,No 2 Goods Line
WLWYNGY,Welwyn Goods Yard
WLWYREV,Reversing Sidings
LTCE,Letchworth
CRKLRTS,London Brick Landfill
WELHAMG,Welham Green
CRKLWDJ,Depot Jn
CRKLWCJ,Curve Jn
LTCEADL,Letchworth A/D Line
CRKLWSJ,South Junction
CRKLWD,Cricklewood
WLWYNGC,Welwyn Garden City
GTCOATS,Great Coates
PUTNEY,Putney
WATONAS,Watton-At-Stone
BRBYPK,Brondesbury Park
BRKMNPK,Brookmans Park
STHWICK,Southwick
WIMLCHS,Wimbledon Chase
KENGCSP,Kensal Green Carriage Wash Plt
SPALDNG,Spalding
DIGSWEL,Digswell
CHEAM,Cheam
EPUTNEY,East Putney
KENOLYM,Kensington Olympia
BANSTED,Banstead
LRDDEAC,London Road Depot
WDWTOWN,Wandsworth Town
POINTPJ,Point Pleasant Jn
QPRK,Queen'S Park (Greater London)
QPRKSS,Queens Park South Shed
BRBY,Brondesbury
WLWYNN,Welwyn North
WLMRGRN,Woolmer Green Jn.
WDONWJ,West Junction
KGWD,Kingswood And Burgh Heath
LTCEMUS,Chs
WIMBLDN,Wimbledon
WDONSS,South Sidings
WDON,South West
WDONTC,Wimbledon Direct Services
WDONCHS,Br Carriage Sidings
WIMB827,Wimbledon Signal Vc827
WDON181,Wimbledon Signal W181
SMERTON,South Merton
POTRSBR,Potters Bar
KNEBWTH,Knebworth
GRMSBMJ,Grimsby Marsh Jn
IFIELD,Ifield
WSUTTON,West Sutton
PADTNTT,Paddington New Yard Tarmac Tpx
WDNPK,Wimbledon Park
PLMD766,Polmadie
PADTNNY,Paddington New Yard
ROYAOSD,Royal Oak Sidings
CHSTST,S & T E Sdg
SHLIER,St Helier
MORDENS,Morden South
WHMDSTD,West Hampstead
WHMPNJN,North Junction
WHMPSTM,West Hampstead Thameslink
WDONCSD,Wimbledon Park C.S.D.
FSHRSGT,Fishersgate
BELM,Belmont Surrey
REIGATE,Reigate
KLBRNHR,Kilburn High Road
KLBRUDG,Up & Down Goods Loop
GTCO1JN,Great Coates No1 Jn.
BALDOCK,Baldock
WDONDSX,Depot Wimbledon Station Exit
DRNSFDR,Durnsford Road Staff Halt
ELCT,Earl'S Court Lt
SUTTONC,Sutton Common
LDBRKJ,London Ladbroke Grove
WHMPSJN,South Junction
FNCHLYR,Finchley Road & Frognal
SUTTON,Sutton (Surrey)
HYDNSRD,Haydons Road
ERLFLD,Earlsfield
SUTT193,Sutton Signal Vc193
SUTT195,Sutton Signal Vc195
HADLYWD,Hadley Wood
EPSDNS,Epsom Downs
SHMPSTD,South Hampstead
PSLDAWH,Portslade
NBARNET,New Barnet
GRMSBYT,Grimsby Town
GRMSBWM,Br West Marsh Yard
SKENSIN,South Kensington Lt
CLPHMYM,Clapham Yard
CLPHS47,Singal W1047
CLPHS49,Signal W1049
OKLGHPK,Oakleigh Park
HBRTBDG,Hubberts Bridge
CRAWLEY,Crawley
HMPSTDH,Hampstead Heath
GRMS100,Pasture Street Sig 1000
LTCHMRJ,Latchmere Junction
GRMSBPS,Grimsby Docks Abp
GRMSBPR,Grimsby Pyewipe Road
MARYUPS,Marylebone Tunnel Siding
MARYSDS,Marylebone Sidings 1-5
MARYLBN,Marylebone London
GRMSBYD,Grimsby Docks
CRSHLTB,Carshalton Beeches
BALHAM,Balham
CHSD,Chipstead
CRSHLTN,Carshalton
WANDCMN,Wandsworth Common London
CMDNCSD,Carmd
CMDNCWM,Carriage Washing Machine
CMDNJN,Camden Junction
EARLSWD,Earlswood (Surrey)
EARL206,Earlswood Signal T206
WHTLSEA,Whittlesea
WHTLSER,Whittlesea Misc Freight
REDH502,Redhill Signal T502
REDHUGL,Redhill Up Tonbridge Siding
TOOTING,Tooting
WLNDNJN,West London Junction
WLNDNJW,West London Junction
ALDTON,Aldrington
REDHLS,Redhill  Drivers            2B
POUPRTJ,Pouparts Junction
REDH483,Redhill  Signal T483     (Tps)
PRIMRSH,Primrose Hill
MITCHMJ,Mitcham Junction
GOSPLOK,Gospel Oak
CTRDJN,Carlton Road Junction
ESTFLDS,Mitcham Eastfields
BALHJN,Balham Jn
THBDGSY,Three Bridges Up Sdg South
SALFDS,Salfords
KNTSHTN,Kentish Town London
KNTSHTJ,Kentish Town Junction
NEWCLEE,New Clee
HORLEY,Horley
SALFDAS,Salfords: Day & Son
HKBG,Hackbridge
KNTSHTW,Kentish Town West
TNSLYGJ,Tinsley Green
GTWK,Gatwick Airport
GTWKACS,Carriage Sidings
WDMNSTR,Woodmansterne
VICTCS,Victoria  Br Carriage Sidings
NEWSGAT,New Southgate
THBDBRD,Three Bridges  Back Road (Tps)
BATRSYD,Battersea Yard
BATRPHS,Battersea Pier Sidings
BATRSH,Battersea Pier Staff Halt
THBDUSN,Three Bridges Up Sdg North
CRAWRMC,Ready Mix Concrete
CRAWFYO,Foster Yeoman
THBDGS,Three Bridges
THBDHSD,Three Bridges  Hsm Sdg   (Tps)
THBDLP,Three Bridges  Loop      (Tps)
THBDPL3,Three Bridges  Pl.1183   (Tps)
WALNGTN,Wallington
LNGHDGJ,Longhedge Junction
QTRDBAT,Queenstown Road(Battersea)
GRVRBGJ,Grosvenor Bridge Jn
BATRSPK,Battersea Park London
BATRSPJ,Battersea Pier Jn
HOVE,Hove
HOVEYD,Hove Yard
STWTLAM,Tarmac Topmix
WADDON,Waddon
STWT,Stewarts Lane
STWTTMD,T & Rsmd
STWTJN,Stewarts Lane Junction
CMDNRD,Camden Road London
CMDNRDJ,Camden Road Junction
MERSTHM,Merstham
LINFST,Linford Street Junction
HOVE675,Hove Sig. T675
FACTRYJ,Factory Junction
WNDSWRD,Wandsworth Road London
STRENJN,Streatham  North Junction
EUSTON,Euston London
EUSTUCS,Up Carriage Shed
EUSTBOR,Backing Out Roads
EUSTDCN,Euston Down Carr Shed Neck
EUSTRES,Carmd(Carriage Engineering)
VOLTRDJ,Voltaire Road Jn
JRDJ,Junction Road Junction
STRHCOM,Streatham Common
NINELMJ,Nine Elms Junction
UPRHLWY,Upper Holloway
DOKJNSP,Dock Junction North
BALCMTJ,Balcombe Tunnel Junction
CLPHHS,Clapham High Street
CMDNREJ,East Junction
STPXCYS,Churchyard Chs
DOKJSSP,Dock Junction South
ASHWELC,Ashwell & Morden
STPX,St Pancras London
PRSP,Preston Park
COLSDNS,Coulsdon South
STRESJN,Streatham  South Junction
STRE171,Streatham Sth Jn Sig Vc171
STRETHM,Streatham
COLSTWN,Coulsdon Town
STRHILL,Streatham Hill
KNGX,King'S Cross London
BOWESPK,Bowes Park
CHRX,Charing Cross London
ALEXNDP,Alexandra Palace
ALEXPSS,Alexandra Palace Sand Sdg
PICDYCR,Piccadilly Circus Lt
LOVRSWS,Brighton  Lovers Walk Sidings
HASOCKS,Hassocks
KNGXFTJ,Copenhagen Jn
HLWYSJ,Holloway
NUTFILD,Nutfield
BALCOMB,Balcombe
CROUCHH,Crouch Hill
CLTHRPS,Cleethorpes
SNSTJN,Stoats Nest Jn
NORBURY,Norbury
SHPSHLA,Shepherds Lane Junction
CUFFLEY,Cuffley
BRGHRC,Brighton  Reception Road (Tps)
REEDHMS,Reedham (Greater London)
BRGHTTY,Brighton Down Siding
BRGHMHS,Brighton  Montpelier Sidings
PALMRSG,Palmers Green
CRHL,Crews Hill
CLDNNRB,Caledonian Road & Barnsbury
WATRINT,Waterloo International
BRGHTN,Brighton
HOVE673,Brighton  Signal T 673
HOVE674,Brighton  Signal T 674
HRNSYCS,Carriage Sidings
HRNSYMD,Emud
WATRLOO,Waterloo London
WATRLMN,Waterloo Main
WATRLOW,Waterloo Windsor Side
BRIXTON,Brixton
WATRCHS,Br Carriage Sidings
WATRLLT,Waterloo Lt
WLOE,Waterloo (East) London
BRGHLRD,London Road Brighton
CRKLGBR,Cricklewood Recess Sdgs Gbrf
